"","Date","Bus_ridership","School","Day_of_week","PRCP","SNOW","TMAX","TMIN","TAVG","Month","Year"
"1",2021-09-01,1086148,0,"Wednesday",2.56,0,78,64,74,"9",2021
"2",2021-09-02,1188941,0,"Thursday",0.21,0,78,61,70,"9",2021
"3",2021-09-03,1221668,0,"Friday",0,0,77,58,67,"9",2021
"4",2021-09-04,834456,0,"Saturday",0,0,78,61,69,"9",2021
"5",2021-09-05,618622,0,"Sunday",0,0,74,65,70,"9",2021
"6",2021-09-06,733947,0,"Monday",0,0,84,69,75,"9",2021
"7",2021-09-07,1102372,0,"Tuesday",0,0,80,63,73,"9",2021
"8",2021-09-08,1192895,0,"Wednesday",0,0,80,68,74,"9",2021
"9",2021-09-09,1249341,0,"Thursday",0.37,0,74,69,72,"9",2021
"10",2021-09-10,1322430,0,"Friday",0,0,76,63,70,"9",2021
"11",2021-09-11,870791,0,"Saturday",0,0,76,58,69,"9",2021
"12",2021-09-12,694561,0,"Sunday",0,0,82,67,73,"9",2021
"13",2021-09-13,1441516,1,"Monday",0.18,0,87,68,78,"9",2021
"14",2021-09-14,1511145,1,"Tuesday",0,0,78,67,73,"9",2021
"15",2021-09-15,1503627,1,"Wednesday",0,0,81,71,75,"9",2021
"16",2021-09-16,1210069,0,"Thursday",0,0,80,70,74,"9",2021
"17",2021-09-17,1456201,1,"Friday",0,0,78,70,73,"9",2021
"18",2021-09-18,871175,0,"Saturday",0,0,86,68,76,"9",2021
"19",2021-09-19,674024,0,"Sunday",0,0,79,64,73,"9",2021
"20",2021-09-20,1481676,1,"Monday",0,0,76,60,68,"9",2021
"21",2021-09-21,1505803,1,"Tuesday",0.03,0,77,58,68,"9",2021
"22",2021-09-22,1506211,1,"Wednesday",0,0,80,71,74,"9",2021
"23",2021-09-23,1483075,1,"Thursday",0.66,0,81,64,76,"9",2021
"24",2021-09-24,1469705,1,"Friday",0.45,0,74,58,67,"9",2021
"25",2021-09-25,872490,0,"Saturday",0,0,76,57,67,"9",2021
"26",2021-09-26,657257,0,"Sunday",0,0,74,62,68,"9",2021
"27",2021-09-27,1489441,1,"Monday",0,0,80,61,69,"9",2021
"28",2021-09-28,1457421,1,"Tuesday",0.09,0,76,62,69,"9",2021
"29",2021-09-29,1513184,1,"Wednesday",0,0,72,54,64,"9",2021
"30",2021-09-30,1516081,1,"Thursday",0,0,67,54,62,"9",2021
"31",2021-10-01,1492942,1,"Friday",0,0,70,50,60,"10",2021
"32",2021-10-02,883902,0,"Saturday",0,0,75,54,64,"10",2021
"33",2021-10-03,673253,0,"Sunday",0,0,77,59,67,"10",2021
"34",2021-10-04,1419155,1,"Monday",0.02,0,73,62,69,"10",2021
"35",2021-10-05,1499767,1,"Tuesday",0,0,66,60,63,"10",2021
"36",2021-10-06,1532668,1,"Wednesday",0,0,72,60,65,"10",2021
"37",2021-10-07,1523168,1,"Thursday",0,0,75,59,67,"10",2021
"38",2021-10-08,1473912,1,"Friday",0,0,77,60,67,"10",2021
"39",2021-10-09,856308,0,"Saturday",0,0,72,58,65,"10",2021
"40",2021-10-10,601821,0,"Sunday",0.1,0,69,62,65,"10",2021
"41",2021-10-11,1045865,0,"Monday",0,0,75,60,66,"10",2021
"42",2021-10-12,1514608,1,"Tuesday",0,0,72,59,65,"10",2021
"43",2021-10-13,1511356,1,"Wednesday",0,0,69,58,64,"10",2021
"44",2021-10-14,1527543,1,"Thursday",0,0,80,62,70,"10",2021
"45",2021-10-15,1491099,1,"Friday",0,0,77,61,69,"10",2021
"46",2021-10-16,856990,0,"Saturday",0.16,0,75,59,70,"10",2021
"47",2021-10-17,663944,0,"Sunday",0,0,65,53,60,"10",2021
"48",2021-10-18,1461843,1,"Monday",0,0,64,50,55,"10",2021
"49",2021-10-19,1510722,1,"Tuesday",0,0,68,48,56,"10",2021
"50",2021-10-20,1525608,1,"Wednesday",0,0,79,58,65,"10",2021
"51",2021-10-21,1476434,1,"Thursday",0,0,73,57,65,"10",2021
"52",2021-10-22,1471199,1,"Friday",0,0,71,58,65,"10",2021
"53",2021-10-23,847596,0,"Saturday",0.14,0,62,50,57,"10",2021
"54",2021-10-24,659283,0,"Sunday",0.01,0,62,47,54,"10",2021
"55",2021-10-25,1461023,1,"Monday",0.02,0,73,61,65,"10",2021
"56",2021-10-26,1233660,1,"Tuesday",3.24,0,66,56,63,"10",2021
"57",2021-10-27,1503535,1,"Wednesday",0.15,0,61,53,58,"10",2021
"58",2021-10-28,1515489,1,"Thursday",0,0,58,48,54,"10",2021
"59",2021-10-29,1426938,1,"Friday",0.38,0,59,47,53,"10",2021
"60",2021-10-30,819620,0,"Saturday",0.03,0,66,56,59,"10",2021
"61",2021-10-31,656203,0,"Sunday",0.11,0,66,56,60,"10",2021
"62",2021-11-01,1448304,1,"Monday",0,0,62,50,58,"11",2021
"63",2021-11-02,1258180,0,"Tuesday",0.01,0,56,44,52,"11",2021
"64",2021-11-03,1507287,1,"Wednesday",0,0,56,40,47,"11",2021
"65",2021-11-04,1486942,1,"Thursday",0,0,53,38,45,"11",2021
"66",2021-11-05,1457014,1,"Friday",0,0,53,37,46,"11",2021
"67",2021-11-06,864499,0,"Saturday",0,0,55,36,45,"11",2021
"68",2021-11-07,614513,0,"Sunday",0,0,55,37,45,"11",2021
"69",2021-11-08,1461178,1,"Monday",0,0,66,43,53,"11",2021
"70",2021-11-09,1518264,1,"Tuesday",0,0,69,43,55,"11",2021
"71",2021-11-10,1514453,1,"Wednesday",0,0,67,46,58,"11",2021
"72",2021-11-11,1198235,0,"Thursday",0,0,62,38,51,"11",2021
"73",2021-11-12,1350608,1,"Friday",0.21,0,66,50,62,"11",2021
"74",2021-11-13,815114,0,"Saturday",0.14,0,64,39,52,"11",2021
"75",2021-11-14,657129,0,"Sunday",0.02,0,48,39,43,"11",2021
"76",2021-11-15,1437414,1,"Monday",0,0,50,39,44,"11",2021
"77",2021-11-16,1492110,1,"Tuesday",0,0,50,37,43,"11",2021
"78",2021-11-17,1501740,1,"Wednesday",0,0,57,33,46,"11",2021
"79",2021-11-18,1505488,1,"Thursday",0.06,0,64,48,56,"11",2021
"80",2021-11-19,1429787,1,"Friday",0.06,0,50,39,48,"11",2021
"81",2021-11-20,861772,0,"Saturday",0,0,48,33,41,"11",2021
"82",2021-11-21,674551,0,"Sunday",0,0,56,43,48,"11",2021
"83",2021-11-22,1418226,1,"Monday",0.04,0,55,36,51,"11",2021
"84",2021-11-23,1424890,1,"Tuesday",0,0,44,32,38,"11",2021
"85",2021-11-24,1343391,1,"Wednesday",0,0,46,30,37,"11",2021
"86",2021-11-25,509782,0,"Thursday",0,0,54,33,44,"11",2021
"87",2021-11-26,843588,0,"Friday",0.13,0,49,37,46,"11",2021
"88",2021-11-27,750986,0,"Saturday",0,0,41,35,38,"11",2021
"89",2021-11-28,592081,0,"Sunday",0,0,42,33,36,"11",2021
"90",2021-11-29,1381661,1,"Monday",0,0,45,33,40,"11",2021
"91",2021-11-30,1432539,1,"Tuesday",0,0,43,30,36,"11",2021
"92",2021-12-01,1463384,1,"Wednesday",0,0,50,40,44,"12",2021
"93",2021-12-02,1449142,1,"Thursday",0.03,0,56,45,50,"12",2021
"94",2021-12-03,1419078,1,"Friday",0,0,49,37,48,"12",2021
"95",2021-12-04,864764,0,"Saturday",0,0,47,36,41,"12",2021
"96",2021-12-05,665129,0,"Sunday",0,0,51,36,43,"12",2021
"97",2021-12-06,1394230,1,"Monday",0.54,0,58,45,52,"12",2021
"98",2021-12-07,1453136,1,"Tuesday",0,0,45,37,44,"12",2021
"99",2021-12-08,1430106,1,"Wednesday",0.07,0,42,34,39,"12",2021
"100",2021-12-09,1436883,1,"Thursday",0,0,40,31,36,"12",2021
"101",2021-12-10,1404176,1,"Friday",0,0,50,38,43,"12",2021
"102",2021-12-11,786137,0,"Saturday",0.16,0,59,44,49,"12",2021
"103",2021-12-12,627007,0,"Sunday",0,0,57,41,49,"12",2021
"104",2021-12-13,1333718,1,"Monday",0,0,52,40,45,"12",2021
"105",2021-12-14,1378221,1,"Tuesday",0,0,54,38,47,"12",2021
"106",2021-12-15,1436154,1,"Wednesday",0,0,54,33,44,"12",2021
"107",2021-12-16,1438193,1,"Thursday",0,0,61,50,54,"12",2021
"108",2021-12-17,1375383,1,"Friday",0,0,61,48,55,"12",2021
"109",2021-12-18,786073,0,"Saturday",0.06,0,49,39,45,"12",2021
"110",2021-12-19,636393,0,"Sunday",0.02,0,47,29,42,"12",2021
"111",2021-12-20,1277654,1,"Monday",0,0,36,24,30,"12",2021
"112",2021-12-21,1299476,1,"Tuesday",0,0,43,31,36,"12",2021
"113",2021-12-22,1252621,1,"Wednesday",0.11,0,49,34,42,"12",2021
"114",2021-12-23,1166953,1,"Thursday",0,0,38,30,34,"12",2021
"115",2021-12-24,746809,0,"Friday",0.01,0.2,41,30,34,"12",2021
"116",2021-12-25,329549,0,"Saturday",0.16,0,53,33,40,"12",2021
"117",2021-12-26,518897,0,"Sunday",0,0,53,39,48,"12",2021
"118",2021-12-27,890096,0,"Monday",0.03,0,39,32,37,"12",2021
"119",2021-12-28,953933,0,"Tuesday",0.06,0,47,37,41,"12",2021
"120",2021-12-29,921562,0,"Wednesday",0.35,0,45,41,43,"12",2021
"121",2021-12-30,928012,0,"Thursday",0.09,0,50,43,45,"12",2021
"122",2021-12-31,699749,0,"Friday",0.01,0,52,46,48,"12",2021
"123",2022-01-01,350845,0,"Saturday",1.22,0,53,48,50,"1",2022
"124",2022-01-02,475096,0,"Sunday",0.03,0,59,38,53,"1",2022
"125",2022-01-03,1000002,1,"Monday",0,0,39,22,34,"1",2022
"126",2022-01-04,1082360,1,"Tuesday",0,0,33,19,25,"1",2022
"127",2022-01-05,1078511,1,"Wednesday",0.29,0,46,30,36,"1",2022
"128",2022-01-06,1146904,1,"Thursday",0,0,41,34,39,"1",2022
"129",2022-01-07,880997,1,"Friday",0.31,6.2,35,25,32,"1",2022
"130",2022-01-08,631341,0,"Saturday",0,0,31,21,25,"1",2022
"131",2022-01-09,475438,0,"Sunday",0.12,0,41,29,34,"1",2022
"132",2022-01-10,1147341,1,"Monday",0,0,41,25,34,"1",2022
"133",2022-01-11,1040581,1,"Tuesday",0,0,25,14,21,"1",2022
"134",2022-01-12,1179931,1,"Wednesday",0,0,41,15,28,"1",2022
"135",2022-01-13,1218552,1,"Thursday",0,0,49,28,38,"1",2022
"136",2022-01-14,1186647,1,"Friday",0,0,45,21,40,"1",2022
"137",2022-01-15,573037,0,"Saturday",0,0,21,11,19,"1",2022
"138",2022-01-16,456257,0,"Sunday",0.53,0.1,42,9,18,"1",2022
"139",2022-01-17,694066,0,"Monday",0.92,0,46,35,40,"1",2022
"140",2022-01-18,1222195,1,"Tuesday",0,0,39,24,35,"1",2022
"141",2022-01-19,1286788,1,"Wednesday",0,0,50,22,35,"1",2022
"142",2022-01-20,1181953,1,"Thursday",0.25,0.1,45,21,39,"1",2022
"143",2022-01-21,1151816,1,"Friday",0,0,24,14,21,"1",2022
"144",2022-01-22,655490,0,"Saturday",0,0,32,14,22,"1",2022
"145",2022-01-23,529115,0,"Sunday",0,0.1,37,24,29,"1",2022
"146",2022-01-24,1244112,1,"Monday",0,0.1,38,28,31,"1",2022
"147",2022-01-25,1308979,1,"Tuesday",0,0,44,29,38,"1",2022
"148",2022-01-26,1266798,0,"Wednesday",0,0,29,18,27,"1",2022
"149",2022-01-27,1275573,0,"Thursday",0,0,32,13,22,"1",2022
"150",2022-01-28,1208092,0,"Friday",0.12,1.9,35,29,31,"1",2022
"151",2022-01-29,271959,0,"Saturday",0.58,9.3,29,12,23,"1",2022
"152",2022-01-30,460299,0,"Sunday",0,0,25,12,17,"1",2022
"153",2022-01-31,1139164,0,"Monday",0,0,32,16,24,"1",2022
"154",2022-02-01,1127084,0,"Tuesday",0,0,38,18,27,"2",2022
"155",2022-02-02,1314898,1,"Wednesday",0,0,45,28,35,"2",2022
"156",2022-02-03,1304726,1,"Thursday",0.33,0,46,37,40,"2",2022
"157",2022-02-04,1176367,1,"Friday",0.56,0.1,49,27,42,"2",2022
"158",2022-02-05,726750,0,"Saturday",0,0,30,19,27,"2",2022
"159",2022-02-06,558211,0,"Sunday",0,0,31,15,22,"2",2022
"160",2022-02-07,1297024,1,"Monday",0.28,0,39,30,33,"2",2022
"161",2022-02-08,1387432,1,"Tuesday",0.12,0,48,32,39,"2",2022
"162",2022-02-09,1421706,1,"Wednesday",0,0,41,24,34,"2",2022
"163",2022-02-10,1423775,1,"Thursday",0,0,56,30,41,"2",2022
"164",2022-02-11,1348189,1,"Friday",0,0,52,34,44,"2",2022
"165",2022-02-12,820629,0,"Saturday",0,0,61,39,49,"2",2022
"166",2022-02-13,510307,0,"Sunday",0.25,2.8,43,25,37,"2",2022
"167",2022-02-14,1272100,1,"Monday",0,0,25,17,23,"2",2022
"168",2022-02-15,1340123,1,"Tuesday",0,0,30,17,22,"2",2022
"169",2022-02-16,1406714,1,"Wednesday",0,0,43,22,33,"2",2022
"170",2022-02-17,1408571,1,"Thursday",0.23,0,54,41,46,"2",2022
"171",2022-02-18,1285978,1,"Friday",0.39,0,58,27,47,"2",2022
"172",2022-02-19,723602,0,"Saturday",0,0,42,21,31,"2",2022
"173",2022-02-20,571789,0,"Sunday",0,0,34,21,27,"2",2022
"174",2022-02-21,873961,0,"Monday",0,0,48,30,37,"2",2022
"175",2022-02-22,1143526,0,"Tuesday",0.14,0,53,33,42,"2",2022
"176",2022-02-23,1247209,0,"Wednesday",0,0,69,35,54,"2",2022
"177",2022-02-24,1196924,0,"Thursday",0,0,35,29,35,"2",2022
"178",2022-02-25,1027563,0,"Friday",0.78,0.3,45,26,34,"2",2022
"179",2022-02-26,775358,0,"Saturday",0,0,38,24,30,"2",2022
"180",2022-02-27,604646,0,"Sunday",0,0,48,29,36,"2",2022
"181",2022-02-28,1362855,1,"Monday",0,0,37,27,34,"2",2022
"182",2022-03-01,1435834,1,"Tuesday",0,0,45,28,35,"3",2022
"183",2022-03-02,1463263,1,"Wednesday",0,0,52,38,44,"3",2022
"184",2022-03-03,1434851,1,"Thursday",0.08,0,45,25,42,"3",2022
"185",2022-03-04,1363159,1,"Friday",0,0,36,19,27,"3",2022
"186",2022-03-05,812774,0,"Saturday",0,0,45,27,35,"3",2022
"187",2022-03-06,600501,0,"Sunday",0.05,0,62,44,47,"3",2022
"188",2022-03-07,1395540,1,"Monday",0.06,0,61,48,53,"3",2022
"189",2022-03-08,1456451,1,"Tuesday",0,0,53,37,47,"3",2022
"190",2022-03-09,1338822,1,"Wednesday",0.61,0.2,40,33,37,"3",2022
"191",2022-03-10,1476288,1,"Thursday",0,0,50,30,38,"3",2022
"192",2022-03-11,1419371,1,"Friday",0,0,50,30,41,"3",2022
"193",2022-03-12,637601,0,"Saturday",0.5,0.3,46,24,40,"3",2022
"194",2022-03-13,590753,0,"Sunday",0,0,35,22,28,"3",2022
"195",2022-03-14,1406578,1,"Monday",0,0,55,33,41,"3",2022
"196",2022-03-15,1454522,1,"Tuesday",0,0,58,38,47,"3",2022
"197",2022-03-16,1476356,1,"Wednesday",0,0,62,41,52,"3",2022
"198",2022-03-17,1350810,1,"Thursday",0.06,0,55,45,49,"3",2022
"199",2022-03-18,1402806,1,"Friday",0,0,63,46,54,"3",2022
"200",2022-03-19,820933,0,"Saturday",0.18,0,60,46,52,"3",2022
"201",2022-03-20,628693,0,"Sunday",0,0,62,46,56,"3",2022
"202",2022-03-21,1418900,1,"Monday",0,0,63,45,52,"3",2022
"203",2022-03-22,1471299,1,"Tuesday",0,0,60,46,53,"3",2022
"204",2022-03-23,1438665,1,"Wednesday",0.07,0,47,39,44,"3",2022
"205",2022-03-24,1373850,1,"Thursday",0.93,0,47,41,44,"3",2022
"206",2022-03-25,1397899,1,"Friday",0.03,0,57,44,49,"3",2022
